DOL Vehicle ID,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP
107277,2019,Tata Motors,450X,Battery Electric Vehicle (BEV),Not Eligible,466,3741895
107278,2019,Mahindra Electric,XUV400,Battery Electric Vehicle (BEV),Eligible,370,4284863
107279,2019,Ather Energy,S1 Pro,Battery Electric Vehicle (BEV),Not Eligible,223,1301930
107280,2019,Ola Electric,450X,Battery Electric Vehicle (BEV),Eligible,516,2128994
107281,2019,TVS Motor,ZS EV,Battery Electric Vehicle (BEV),Eligible,459,2134514
107282,2019,Mahindra Electric,XUV400,Battery Electric Vehicle (BEV),Eligible,507,2856753
107283,2019,BYD India,S1 Pro,Battery Electric Vehicle (BEV),Not Eligible,375,2337198
107284,2019,BYD India,Kona EV,Battery Electric Vehicle (BEV),Eligible,186,4412180
107285,2019,MG Motor India,XUV400,Battery Electric Vehicle (BEV),Not Eligible,297,1036258
107286,2019,Hyundai EV,Kona EV,Battery Electric Vehicle (BEV),Eligible,145,4420808
107287,2019,Hyundai EV,S1 Pro,Battery Electric Vehicle (BEV),Eligible,147,1300509
107288,2019,TVS Motor,ZS EV,Battery Electric Vehicle (BEV),Not Eligible,386,1655625
107289,2019,Ather Energy,450X,Battery Electric Vehicle (BEV),Eligible,183,1008805
107290,2019,TVS Motor,iQube,Battery Electric Vehicle (BEV),Eligible,148,4047332
107291,2019,Mahindra Electric,XUV400,Battery Electric Vehicle (BEV),Eligible,308,3689221
107292,2019,MG Motor India,Nexon EV,Battery Electric Vehicle (BEV),Eligible,224,1091016
107293,2019,TVS Motor,S1 Pro,Plug-in Hybrid Electric Vehicle (PHEV),Not Eligible,307,2632554
107294,2019,Hyundai EV,S1 Pro,Battery Electric Vehicle (BEV),Not Eligible,378,2840575
107295,2019,Tata Motors,Kona EV,Battery Electric Vehicle (BEV),Eligible,270,2818270
107296,2019,BYD India,450X,Battery Electric Vehicle (BEV),Not Eligible,224,1540053
107297,2019,BYD India,Kona EV,Battery Electric Vehicle (BEV),Eligible,506,1968983
107298,2019,TVS Motor,ZS EV,Plug-in Hybrid Electric Vehicle (PHEV),Not Eligible,247,3889844
107299,2019,Hyundai EV,Kona EV,Battery Electric Vehicle (BEV),Eligible,421,4141017
107300,2019,Hyundai EV,Atto 3,Battery Electric Vehicle (BEV),Eligible,174,3039998
107301,2019,Ather Energy,450X,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,313,3671737
107302,2019,Tata Motors,S1 Pro,Battery Electric Vehicle (BEV),Eligible,119,2480311
107303,2019,Mahindra Electric,S1 Pro,Plug-in Hybrid Electric Vehicle (PHEV),Not Eligible,143,2416374
107304,2019,Hyundai EV,Atto 3,Battery Electric Vehicle (BEV),Eligible,164,3505727
107305,2019,MG Motor India,XUV400,Battery Electric Vehicle (BEV),Eligible,351,2302041
107306,2019,Hyundai EV,XUV400,Battery Electric Vehicle (BEV),Not Eligible,432,2297689
107307,2019,Ola Electric,iQube,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,201,1680531
107308,2019,BYD India,ZS EV,Battery Electric Vehicle (BEV),Eligible,507,1927422
107309,2019,Mahindra Electric,iQube,Battery Electric Vehicle (BEV),Eligible,307,3329052
107310,2019,TVS Motor,450X,Battery Electric Vehicle (BEV),Not Eligible,204,2776315
107311,2019,Mahindra Electric,Kona EV,Plug-in Hybrid Electric Vehicle (PHEV),Not Eligible,175,911984
107312,2019,Tata Motors,450X,Battery Electric Vehicle (BEV),Eligible,410,1164720
107313,2019,TVS Motor,450X,Battery Electric Vehicle (BEV),Eligible,436,1045929
107314,2019,Ather Energy,450X,Battery Electric Vehicle (BEV),Eligible,106,4394148
107315,2019,Ather Energy,XUV400,Battery Electric Vehicle (BEV),Eligible,414,3112067
107316,2019,MG Motor India,S1 Pro,Battery Electric Vehicle (BEV),Not Eligible,99,3331399
107317,2019,Mahindra Electric,450X,Battery Electric Vehicle (BEV),Eligible,464,3082241
107318,2019,Ather Energy,iQube,Battery Electric Vehicle (BEV),Eligible,508,1373663
107319,2019,MG Motor India,Atto 3,Battery Electric Vehicle (BEV),Eligible,302,2490207
107320,2019,MG Motor India,450X,Battery Electric Vehicle (BEV),Not Eligible,310,2671817
107321,2019,Mahindra Electric,S1 Pro,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,187,2600640
107322,2019,TVS Motor,Atto 3,Battery Electric Vehicle (BEV),Eligible,313,4256155
107323,2019,BYD India,iQube,Battery Electric Vehicle (BEV),Eligible,295,4403971
107324,2019,Ather Energy,450X,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,337,1659371
107325,2019,Ather Energy,Kona EV,Battery Electric Vehicle (BEV),Not Eligible,365,906902
107326,2019,BYD India,iQube,Battery Electric Vehicle (BEV),Eligible,296,4191363
107327,2019,BYD India,Kona EV,Battery Electric Vehicle (BEV),Eligible,81,1323838
107328,2019,TVS Motor,Kona EV,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,387,1813429
107329,2019,Hyundai EV,iQube,Battery Electric Vehicle (BEV),Eligible,516,3983696
107330,2019,MG Motor India,Atto 3,Battery Electric Vehicle (BEV),Not Eligible,127,1941127
107331,2019,Ather Energy,Kona EV,Battery Electric Vehicle (BEV),Eligible,334,2242703
107332,2019,Hyundai EV,450X,Battery Electric Vehicle (BEV),Eligible,516,3345905
107333,2019,Tata Motors,iQube,Battery Electric Vehicle (BEV),Eligible,276,4119738
107334,2019,Tata Motors,ZS EV,Battery Electric Vehicle (BEV),Eligible,303,4091422
107335,2019,Ather Energy,Atto 3,Battery Electric Vehicle (BEV),Eligible,371,4405065
107336,2019,Ather Energy,S1 Pro,Battery Electric Vehicle (BEV),Eligible,485,2371824
107337,2019,Hyundai EV,XUV400,Battery Electric Vehicle (BEV),Not Eligible,364,1086518
107338,2019,TVS Motor,Atto 3,Battery Electric Vehicle (BEV),Eligible,226,2329209
107339,2019,Tata Motors,XUV400,Battery Electric Vehicle (BEV),Eligible,456,1352113
107340,2019,Mahindra Electric,ZS EV,Battery Electric Vehicle (BEV),Eligible,434,2517528
107341,2019,MG Motor India,Nexon EV,Battery Electric Vehicle (BEV),Eligible,266,3175223
107342,2019,Mahindra Electric,450X,Battery Electric Vehicle (BEV),Eligible,198,4285907
107343,2019,BYD India,XUV400,Battery Electric Vehicle (BEV),Not Eligible,180,4401493
107344,2019,Hyundai EV,Kona EV,Battery Electric Vehicle (BEV),Eligible,85,3235478
107345,2019,Mahindra Electric,Nexon EV,Battery Electric Vehicle (BEV),Eligible,444,979331
107346,2019,Hyundai EV,iQube,Battery Electric Vehicle (BEV),Not Eligible,389,1906610
107347,2019,Mahindra Electric,Kona EV,Battery Electric Vehicle (BEV),Not Eligible,334,1952447
107348,2019,BYD India,450X,Battery Electric Vehicle (BEV),Eligible,259,2053241
107349,2019,TVS Motor,Atto 3,Battery Electric Vehicle (BEV),Eligible,278,4241637
107350,2019,Mahindra Electric,Atto 3,Battery Electric Vehicle (BEV),Eligible,314,1806137
107351,2019,BYD India,iQube,Battery Electric Vehicle (BEV),Not Eligible,323,1186336
107352,2019,Hyundai EV,XUV400,Battery Electric Vehicle (BEV),Eligible,108,1211092
107353,2019,MG Motor India,iQube,Battery Electric Vehicle (BEV),Eligible,421,1036786
107354,2019,Hyundai EV,ZS EV,Battery Electric Vehicle (BEV),Eligible,429,1198672
107355,2019,Tata Motors,Nexon EV,Battery Electric Vehicle (BEV),Eligible,142,1468295
107356,2019,Hyundai EV,Atto 3,Battery Electric Vehicle (BEV),Eligible,317,2723880
107357,2019,Ather Energy,S1 Pro,Battery Electric Vehicle (BEV),Eligible,370,3865103
107358,2019,Ather Energy,S1 Pro,Battery Electric Vehicle (BEV),Eligible,344,1771989
107359,2019,BYD India,ZS EV,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,401,1864908
107360,2019,Tata Motors,Kona EV,Battery Electric Vehicle (BEV),Eligible,423,4229479
107361,2019,Ather Energy,Nexon EV,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,89,3565512
107362,2019,Mahindra Electric,Atto 3,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,509,2181555
107363,2019,Hyundai EV,XUV400,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,306,1294466
107364,2019,Ola Electric,Kona EV,Battery Electric Vehicle (BEV),Not Eligible,311,3547212
107365,2019,Ather Energy,Kona EV,Battery Electric Vehicle (BEV),Eligible,130,3097362
107366,2019,Hyundai EV,Atto 3,Battery Electric Vehicle (BEV),Eligible,503,2875129
107367,2020,Ola Electric,iQube,Battery Electric Vehicle (BEV),Eligible,407,4443405
107368,2020,Mahindra Electric,Kona EV,Battery Electric Vehicle (BEV),Not Eligible,293,4087758
107369,2020,Mahindra Electric,450X,Battery Electric Vehicle (BEV),Eligible,380,1337663
107370,2020,Ather Energy,iQube,Battery Electric Vehicle (BEV),Not Eligible,312,3501641
107371,2020,MG Motor India,XUV400,Battery Electric Vehicle (BEV),Eligible,472,1665880
107372,2020,MG Motor India,ZS EV,Battery Electric Vehicle (BEV),Eligible,292,4452101
107373,2020,BYD India,ZS EV,Battery Electric Vehicle (BEV),Eligible,263,4262328
107374,2020,BYD India,Kona EV,Battery Electric Vehicle (BEV),Eligible,500,1411158
107375,2020,Ola Electric,XUV400,Battery Electric Vehicle (BEV),Eligible,405,3169182
107376,2020,TVS Motor,450X,Battery Electric Vehicle (BEV),Eligible,385,1514230
107377,2020,Mahindra Electric,Atto 3,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,339,4395885
107378,2020,Ather Energy,S1 Pro,Battery Electric Vehicle (BEV),Not Eligible,163,2424132
107379,2020,BYD India,ZS EV,Battery Electric Vehicle (BEV),Eligible,278,4097737
107380,2020,BYD India,XUV400,Battery Electric Vehicle (BEV),Not Eligible,475,3169833
107381,2020,Hyundai EV,Atto 3,Battery Electric Vehicle (BEV),Not Eligible,448,2660435
107382,2020,Mahindra Electric,ZS EV,Battery Electric Vehicle (BEV),Eligible,109,1530180
107383,2020,TVS Motor,Nexon EV,Battery Electric Vehicle (BEV),Eligible,221,3264341
107384,2020,BYD India,XUV400,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,298,3797697
107385,2020,Hyundai EV,S1 Pro,Battery Electric Vehicle (BEV),Eligible,188,3008262
107386,2020,Mahindra Electric,Nexon EV,Battery Electric Vehicle (BEV),Eligible,80,4371406
107387,2020,TVS Motor,XUV400,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,163,4191339
107388,2020,Tata Motors,Atto 3,Battery Electric Vehicle (BEV),Eligible,385,2769840
107389,2020,Hyundai EV,450X,Battery Electric Vehicle (BEV),Eligible,346,913594
107390,2020,Ola Electric,450X,Battery Electric Vehicle (BEV),Eligible,250,3796816
107391,2020,BYD India,450X,Battery Electric Vehicle (BEV),Eligible,149,2303890
107392,2020,Mahindra Electric,ZS EV,Battery Electric Vehicle (BEV),Eligible,482,3260514
107393,2020,TVS Motor,Nexon EV,Battery Electric Vehicle (BEV),Not Eligible,484,3336573
107394,2020,BYD India,S1 Pro,Battery Electric Vehicle (BEV),Not Eligible,249,1070396
107395,2020,TVS Motor,ZS EV,Battery Electric Vehicle (BEV),Eligible,330,2255118
107396,2020,Tata Motors,Atto 3,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,98,4196185
107397,2020,Ola Electric,iQube,Battery Electric Vehicle (BEV),Eligible,129,972586
107398,2020,Ather Energy,Nexon EV,Battery Electric Vehicle (BEV),Eligible,137,4334692
107399,2020,MG Motor India,S1 Pro,Plug-in Hybrid Electric Vehicle (PHEV),Not Eligible,203,3047343
107400,2020,Tata Motors,Nexon EV,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,505,2832582
107401,2020,Ather Energy,ZS EV,Battery Electric Vehicle (BEV),Not Eligible,293,3098274
107402,2020,Ola Electric,ZS EV,Battery Electric Vehicle (BEV),Not Eligible,197,2912225
107403,2020,TVS Motor,Atto 3,Battery Electric Vehicle (BEV),Eligible,369,3709171
107404,2020,Ather Energy,450X,Battery Electric Vehicle (BEV),Not Eligible,516,4201561
107405,2020,Mahindra Electric,Kona EV,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,434,1284444
107406,2020,Ola Electric,450X,Battery Electric Vehicle (BEV),Not Eligible,233,1070165
107407,2020,Tata Motors,Kona EV,Battery Electric Vehicle (BEV),Eligible,376,1451352
107408,2020,Mahindra Electric,450X,Battery Electric Vehicle (BEV),Eligible,88,2485665
107409,2020,Mahindra Electric,450X,Battery Electric Vehicle (BEV),Eligible,127,3060427
107410,2020,MG Motor India,Nexon EV,Battery Electric Vehicle (BEV),Eligible,298,3283890
107411,2020,Mahindra Electric,S1 Pro,Plug-in Hybrid Electric Vehicle (PHEV),Not Eligible,89,1549594
107412,2020,TVS Motor,Atto 3,Battery Electric Vehicle (BEV),Eligible,283,1862091
107413,2020,Tata Motors,Nexon EV,Plug-in Hybrid Electric Vehicle (PHEV),Not Eligible,418,1534367
107414,2020,Ather Energy,Nexon EV,Battery Electric Vehicle (BEV),Eligible,209,1592321
107415,2020,Hyundai EV,Nexon EV,Battery Electric Vehicle (BEV),Eligible,342,4038247
107416,2020,Mahindra Electric,450X,Battery Electric Vehicle (BEV),Eligible,394,3871658
107417,2020,Mahindra Electric,450X,Battery Electric Vehicle (BEV),Not Eligible,279,2280324
107418,2020,Ola Electric,ZS EV,Battery Electric Vehicle (BEV),Not Eligible,258,1481571
107419,2020,Hyundai EV,S1 Pro,Battery Electric Vehicle (BEV),Eligible,322,2391729
107420,2020,Hyundai EV,Nexon EV,Battery Electric Vehicle (BEV),Not Eligible,286,2766900
107421,2020,Mahindra Electric,450X,Battery Electric Vehicle (BEV),Eligible,323,2251675
107422,2020,MG Motor India,450X,Battery Electric Vehicle (BEV),Eligible,263,4333265
107423,2020,Ather Energy,iQube,Battery Electric Vehicle (BEV),Eligible,112,1588708
107424,2020,MG Motor India,S1 Pro,Battery Electric Vehicle (BEV),Not Eligible,260,3932922
107425,2020,Ather Energy,ZS EV,Battery Electric Vehicle (BEV),Eligible,150,3304185
107426,2020,Tata Motors,XUV400,Battery Electric Vehicle (BEV),Eligible,482,3766074
107427,2020,Mahindra Electric,Nexon EV,Battery Electric Vehicle (BEV),Eligible,406,2261989
107428,2020,Ola Electric,Atto 3,Battery Electric Vehicle (BEV),Eligible,160,2995353
107429,2020,BYD India,XUV400,Battery Electric Vehicle (BEV),Eligible,446,3016912
107430,2020,Ola Electric,Atto 3,Battery Electric Vehicle (BEV),Not Eligible,147,3495684
107431,2020,TVS Motor,XUV400,Battery Electric Vehicle (BEV),Eligible,174,2957940
107432,2020,TVS Motor,450X,Battery Electric Vehicle (BEV),Eligible,430,3226427
107433,2020,Tata Motors,Kona EV,Battery Electric Vehicle (BEV),Not Eligible,258,2893411
107434,2020,MG Motor India,XUV400,Battery Electric Vehicle (BEV),Not Eligible,98,2925835
107435,2020,TVS Motor,ZS EV,Battery Electric Vehicle (BEV),Eligible,175,2368384
107436,2020,MG Motor India,S1 Pro,Battery Electric Vehicle (BEV),Eligible,455,3642974
107437,2020,Hyundai EV,Nexon EV,Battery Electric Vehicle (BEV),Eligible,190,1167321
107438,2020,MG Motor India,ZS EV,Battery Electric Vehicle (BEV),Eligible,291,3263877
107439,2020,Mahindra Electric,iQube,Battery Electric Vehicle (BEV),Eligible,422,4110380
107440,2020,BYD India,XUV400,Battery Electric Vehicle (BEV),Eligible,107,3566009
107441,2020,MG Motor India,450X,Battery Electric Vehicle (BEV),Eligible,80,3350335
107442,2020,Ather Energy,Nexon EV,Battery Electric Vehicle (BEV),Eligible,131,3394833
107443,2020,Hyundai EV,Atto 3,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,280,1775626
107444,2020,TVS Motor,S1 Pro,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,198,3578102
107445,2020,Mahindra Electric,XUV400,Battery Electric Vehicle (BEV),Eligible,196,1872878
107446,2020,Hyundai EV,S1 Pro,Battery Electric Vehicle (BEV),Not Eligible,326,3871289
107447,2020,Mahindra Electric,450X,Battery Electric Vehicle (BEV),Eligible,223,1412313
107448,2020,Ather Energy,Kona EV,Battery Electric Vehicle (BEV),Not Eligible,298,938451
107449,2020,Mahindra Electric,Atto 3,Battery Electric Vehicle (BEV),Eligible,319,3078624
107450,2020,MG Motor India,S1 Pro,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,490,1657063
107451,2020,BYD India,450X,Plug-in Hybrid Electric Vehicle (PHEV),Not Eligible,502,4309362
107452,2020,Tata Motors,ZS EV,Battery Electric Vehicle (BEV),Eligible,160,1260058
107453,2020,BYD India,Atto 3,Battery Electric Vehicle (BEV),Not Eligible,273,2890767
107454,2020,MG Motor India,450X,Battery Electric Vehicle (BEV),Eligible,104,1379888
107455,2020,MG Motor India,Kona EV,Battery Electric Vehicle (BEV),Eligible,102,3546380
107456,2020,Ather Energy,XUV400,Battery Electric Vehicle (BEV),Eligible,482,1751695
107457,2020,Mahindra Electric,S1 Pro,Battery Electric Vehicle (BEV),Eligible,190,1714380
107458,2020,Hyundai EV,450X,Battery Electric Vehicle (BEV),Not Eligible,262,2621362
107459,2020,Ola Electric,Nexon EV,Battery Electric Vehicle (BEV),Eligible,513,4486020
107460,2020,TVS Motor,S1 Pro,Battery Electric Vehicle (BEV),Not Eligible,80,1498063
107461,2020,MG Motor India,iQube,Battery Electric Vehicle (BEV),Eligible,434,4180105
107462,2020,MG Motor India,Nexon EV,Plug-in Hybrid Electric Vehicle (PHEV),Not Eligible,442,2911033
107463,2020,TVS Motor,450X,Battery Electric Vehicle (BEV),Eligible,330,4126040
107464,2020,Tata Motors,Kona EV,Battery Electric Vehicle (BEV),Not Eligible,487,3650363
107465,2020,Tata Motors,Nexon EV,Battery Electric Vehicle (BEV),Eligible,419,2984074
107466,2020,Ather Energy,Nexon EV,Battery Electric Vehicle (BEV),Eligible,460,1979664
107467,2020,Hyundai EV,Kona EV,Battery Electric Vehicle (BEV),Eligible,363,2617401
107468,2020,Ola Electric,S1 Pro,Battery Electric Vehicle (BEV),Eligible,146,3044146
107469,2020,Mahindra Electric,Nexon EV,Plug-in Hybrid Electric Vehicle (PHEV),Not Eligible,350,2823032
107470,2020,Mahindra Electric,iQube,Battery Electric Vehicle (BEV),Eligible,129,3035571
107471,2020,BYD India,iQube,Battery Electric Vehicle (BEV),Eligible,330,1166367
107472,2020,TVS Motor,Nexon EV,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,491,1728324
107473,2020,Ather Energy,450X,Battery Electric Vehicle (BEV),Eligible,208,3948041
107474,2020,Mahindra Electric,ZS EV,Battery Electric Vehicle (BEV),Eligible,217,1947724
107475,2020,Mahindra Electric,Atto 3,Battery Electric Vehicle (BEV),Eligible,330,4121533
107476,2020,Mahindra Electric,XUV400,Battery Electric Vehicle (BEV),Eligible,290,1019467
107477,2020,Mahindra Electric,Atto 3,Battery Electric Vehicle (BEV),Eligible,309,1737058
107478,2020,TVS Motor,XUV400,Battery Electric Vehicle (BEV),Eligible,182,1352310
107479,2020,Hyundai EV,XUV400,Battery Electric Vehicle (BEV),Eligible,319,2996775
107480,2020,Mahindra Electric,Atto 3,Battery Electric Vehicle (BEV),Eligible,454,2018840
107481,2020,Ola Electric,iQube,Battery Electric Vehicle (BEV),Eligible,473,3609366
107482,2020,BYD India,Atto 3,Battery Electric Vehicle (BEV),Not Eligible,330,4044981
107483,2020,Hyundai EV,XUV400,Battery Electric Vehicle (BEV),Eligible,115,2035561
107484,2020,TVS Motor,Nexon EV,Battery Electric Vehicle (BEV),Not Eligible,377,1684374
107485,2020,Tata Motors,Atto 3,Battery Electric Vehicle (BEV),Eligible,390,2063732
107486,2020,TVS Motor,Kona EV,Battery Electric Vehicle (BEV),Eligible,245,1730248
107487,2020,Ather Energy,XUV400,Battery Electric Vehicle (BEV),Eligible,105,1578759
107488,2020,Ather Energy,XUV400,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,458,4020150
107489,2020,Tata Motors,ZS EV,Battery Electric Vehicle (BEV),Not Eligible,118,3317144
107490,2020,MG Motor India,450X,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,316,1954020
107491,2020,Tata Motors,iQube,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,290,1879202
107492,2020,Ola Electric,Atto 3,Battery Electric Vehicle (BEV),Eligible,479,3271892
107493,2020,MG Motor India,XUV400,Battery Electric Vehicle (BEV),Not Eligible,137,2364076
107494,2020,Ola Electric,Kona EV,Battery Electric Vehicle (BEV),Eligible,93,2654403
107495,2020,BYD India,XUV400,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,321,2608268
107496,2020,BYD India,ZS EV,Battery Electric Vehicle (BEV),Eligible,81,1574020
107497,2020,Ola Electric,ZS EV,Battery Electric Vehicle (BEV),Eligible,375,2104609
107498,2020,BYD India,Kona EV,Battery Electric Vehicle (BEV),Eligible,469,974953
107499,2020,MG Motor India,Nexon EV,Battery Electric Vehicle (BEV),Eligible,193,4126581
107500,2020,BYD India,XUV400,Battery Electric Vehicle (BEV),Eligible,132,3121619
107501,2020,Hyundai EV,450X,Battery Electric Vehicle (BEV),Not Eligible,473,2518995
107502,2020,Mahindra Electric,Nexon EV,Battery Electric Vehicle (BEV),Eligible,432,3749813
107503,2020,Ola Electric,Nexon EV,Battery Electric Vehicle (BEV),Eligible,197,1346095
107504,2020,MG Motor India,450X,Battery Electric Vehicle (BEV),Eligible,455,3870885
107505,2020,Tata Motors,Kona EV,Battery Electric Vehicle (BEV),Eligible,131,2166906
107506,2020,Mahindra Electric,XUV400,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,196,1411229
107507,2020,TVS Motor,450X,Battery Electric Vehicle (BEV),Eligible,486,2033983
107508,2020,Mahindra Electric,Atto 3,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,400,3305448
107509,2020,Ola Electric,S1 Pro,Battery Electric Vehicle (BEV),Eligible,353,3555213
107510,2020,BYD India,XUV400,Battery Electric Vehicle (BEV),Eligible,165,3156636
107511,2020,Ola Electric,450X,Battery Electric Vehicle (BEV),Not Eligible,282,2635756
107512,2020,Tata Motors,ZS EV,Battery Electric Vehicle (BEV),Eligible,207,3400458
107513,2020,Tata Motors,XUV400,Battery Electric Vehicle (BEV),Eligible,131,1968402
107514,2020,Mahindra Electric,iQube,Battery Electric Vehicle (BEV),Eligible,288,2556784
107515,2020,Mahindra Electric,Atto 3,Battery Electric Vehicle (BEV),Not Eligible,321,4461518
107516,2020,MG Motor India,450X,Battery Electric Vehicle (BEV),Not Eligible,396,1047537
107517,2020,Hyundai EV,iQube,Battery Electric Vehicle (BEV),Not Eligible,120,1681156
107518,2020,Hyundai EV,S1 Pro,Battery Electric Vehicle (BEV),Eligible,126,3236318
107519,2020,BYD India,ZS EV,Battery Electric Vehicle (BEV),Not Eligible,342,3062744
107520,2020,MG Motor India,450X,Battery Electric Vehicle (BEV),Eligible,500,4083402
107521,2020,TVS Motor,XUV400,Plug-in Hybrid Electric Vehicle (PHEV),Not Eligible,211,1762789
107522,2020,Ather Energy,ZS EV,Battery Electric Vehicle (BEV),Eligible,417,1413978
107523,2020,Ather Energy,iQube,Battery Electric Vehicle (BEV),Eligible,365,3852179
107524,2020,Mahindra Electric,Atto 3,Battery Electric Vehicle (BEV),Eligible,311,3660369
107525,2020,Hyundai EV,XUV400,Battery Electric Vehicle (BEV),Not Eligible,211,3603883
107526,2020,Hyundai EV,450X,Battery Electric Vehicle (BEV),Not Eligible,392,4336510
107527,2020,Tata Motors,Atto 3,Battery Electric Vehicle (BEV),Eligible,185,2274546
107528,2020,Mahindra Electric,iQube,Battery Electric Vehicle (BEV),Eligible,205,3692490
107529,2020,Ather Energy,Atto 3,Battery Electric Vehicle (BEV),Eligible,372,2006088
107530,2020,TVS Motor,450X,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,375,2463058
107531,2020,Mahindra Electric,Kona EV,Battery Electric Vehicle (BEV),Eligible,364,1480623
107532,2020,Mahindra Electric,Atto 3,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,286,2403082
107533,2020,TVS Motor,iQube,Battery Electric Vehicle (BEV),Eligible,242,2903142
107534,2020,Ather Energy,Kona EV,Battery Electric Vehicle (BEV),Eligible,85,4292198
107535,2020,MG Motor India,XUV400,Battery Electric Vehicle (BEV),Not Eligible,168,1980011
107536,2020,Ather Energy,ZS EV,Battery Electric Vehicle (BEV),Eligible,92,1389897
107537,2020,Tata Motors,XUV400,Battery Electric Vehicle (BEV),Not Eligible,397,907774
107538,2020,Ather Energy,Kona EV,Battery Electric Vehicle (BEV),Not Eligible,307,2831671
107539,2020,BYD India,Kona EV,Battery Electric Vehicle (BEV),Eligible,280,4104860
107540,2020,Ather Energy,Kona EV,Battery Electric Vehicle (BEV),Eligible,333,1022809
107541,2020,Ather Energy,iQube,Battery Electric Vehicle (BEV),Not Eligible,385,1525416
107542,2020,TVS Motor,ZS EV,Plug-in Hybrid Electric Vehicle (PHEV),Not Eligible,456,4215751
107543,2020,Hyundai EV,XUV400,Battery Electric Vehicle (BEV),Eligible,457,3795262
107544,2020,Hyundai EV,Nexon EV,Battery Electric Vehicle (BEV),Eligible,440,3045123
107545,2020,Hyundai EV,Kona EV,Battery Electric Vehicle (BEV),Eligible,342,1738045
107546,2020,TVS Motor,iQube,Battery Electric Vehicle (BEV),Not Eligible,405,2393689
107547,2020,Ather Energy,ZS EV,Battery Electric Vehicle (BEV),Eligible,392,1338794
107548,2020,Mahindra Electric,S1 Pro,Battery Electric Vehicle (BEV),Not Eligible,316,1836945
107549,2020,TVS Motor,iQube,Battery Electric Vehicle (BEV),Eligible,330,2802550
107550,2020,Ola Electric,Nexon EV,Battery Electric Vehicle (BEV),Not Eligible,240,3577375
107551,2020,Mahindra Electric,Atto 3,Battery Electric Vehicle (BEV),Eligible,262,3944740
107552,2020,Mahindra Electric,Nexon EV,Battery Electric Vehicle (BEV),Eligible,216,3915881
107553,2020,BYD India,450X,Battery Electric Vehicle (BEV),Eligible,298,2934715
107554,2020,Tata Motors,Atto 3,Battery Electric Vehicle (BEV),Eligible,96,3772174
107555,2020,Ather Energy,450X,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,496,4063569
107556,2020,TVS Motor,Kona EV,Battery Electric Vehicle (BEV),Eligible,409,3491958
107557,2020,Ather Energy,iQube,Battery Electric Vehicle (BEV),Eligible,195,4015210
107558,2020,Hyundai EV,450X,Battery Electric Vehicle (BEV),Eligible,149,3838826
107559,2020,Ather Energy,XUV400,Battery Electric Vehicle (BEV),Eligible,246,2568717
107560,2020,Ather Energy,ZS EV,Battery Electric Vehicle (BEV),Eligible,86,2068057
107561,2020,MG Motor India,Kona EV,Battery Electric Vehicle (BEV),Not Eligible,384,1201272
107562,2020,Hyundai EV,Kona EV,Battery Electric Vehicle (BEV),Not Eligible,456,1760365
107563,2020,MG Motor India,iQube,Plug-in Hybrid Electric Vehicle (PHEV),Not Eligible,286,4330550
107564,2020,Ola Electric,Kona EV,Battery Electric Vehicle (BEV),Eligible,305,1114554
107565,2020,Mahindra Electric,450X,Battery Electric Vehicle (BEV),Eligible,390,2149596
107566,2020,MG Motor India,Nexon EV,Battery Electric Vehicle (BEV),Eligible,424,3145716
107567,2020,Mahindra Electric,iQube,Battery Electric Vehicle (BEV),Not Eligible,262,3086511
107568,2020,Ather Energy,ZS EV,Plug-in Hybrid Electric Vehicle (PHEV),Eligible,433,2819929
107569,2020,TVS Motor,XUV400,Battery Electric Vehicle (BEV),Not Eligible,167,3151091
107570,2020,Tata Motors,iQube,Battery Electric Vehicle (BEV),Not Eligible,185,2527958
